Jan og hans plante,Harrie Geelen, fra 1995 på forlaget Atelier,ISBN: 87-7857-061-1,33593.jpg,10,3,"Hardback, 22x28cm. 24sider, illustreret med farve-tegninger. Brugsspor udvendig. 339g.", Skønlitteratur, Børnebøger,,,,,,,,,
Mennesket gennem årtusinder,Lincoln Barnett," fra 1966 på forlaget Skrifola. Indb. 22x29cm. 173sider, illustreret",,34047.jpg,50,4,Om menneskets udvikling fra dets løsrivelse fra det øvrige dyresamfund frem til vore dages højt udviklede civilisation., Historie:Kultur, Etnografi og Antropologi, Arkæologi,,,,,,,,
Deres private investeringer i værdipapirer - råd og vejledning,Jens Christophersen,1. udgave fra 1985 på forlaget Børsens,ISBN: 87-7553-176-3,33913.jpg,20,5,"De grundhensyn, som bogen koncentrerer sig om, er især risikovillighed, likviditetsgrad, løbende afkast, værdifasthed, sikkerhed, kursstabilitet, vækst, inflationsrisiko, tidshorisont og skat. 
Indb. 186 sider, 415 gram.", Studiebøger, Økonomi,,,,,,,,,
Spadens Vidnesbyrd - med arkæologen i marken,Geoffrey Bibby,1. udgave fra 1957 på forlaget Gyldendal,,33703.jpg,25,4,"Hft. 362s. illustreret med foto og tegninger. Omslag slidt, ellers god stand. 755gram", Arkæologi,,,,,,,,,,
"Verdenskulturen, V.bind - Den nyere tids kultur",Aage Friis (red.), fra 1909 på Nordisk forlag,,33882.jpg,40,4,Antikvarisk bog i god stand. Indb. med læderryg. 20x28cm. 282s. illustreret. 998gram., Historie:Kultur,,,,,,,,,,
Danmarks Konger og Dronninger,Kay Nielsen, fra 1980 på forlaget Hamlet,,33200.jpg,15,5,Hft. 96s. illustreret. 213gram., Studiebøger, Historie:Danmark,,,,,,,,,
"Bord dæk dig - borddækning med fest, farver og fantasi.",Beate Rabe,"1. udgave fra 1994 på forlaget Egmont, indb.118sider, 22x27cm, som ny",ISBN: 8760803169,33820.jpg,45,6,, Faglitteratur, Øvrige,,,,,,,,,
Galatheas Jordomsejling 1950-52 - Den danske dybhavsekspeditions virke og resultater,"A.F.Bruun, Sv.Greve, H. Mielche, R.Spärck", fra 1953 på forlaget J.H.Schultz,,33914.jpg,65,5,"Indb. 18,5x25,5cm. Læderryg. 305sider illustreret. 1029gram.", Studiebøger, Naturvidenskab, Nautica, Biologi,,,,,,,
Styring og demokratisk kontrol af statslige Aktieselskaber,Carsten Greve, fra 1997 på forlaget Institut for Statskundskab,ISBN: 87-7393337-6,34033.jpg,30,4,Ph.D.afhandling.. Hft. 351sider. Enkelte markeringer i begyndelsen af bogen., Studiebøger,,,,,,,,,,
Dyrenes Verden - Fugle I+II+III,Ingvard Lieberkind, på forlaget Standard,,33434.jpg,150,5,"Tre flotte indb.bøger. 1568sider, illustreret. Fin stand. Uden udgivelsesår.", Studiebøger, Zoologi, Fugle,,,,,,,,
Danske Malere fortæller Fædrelandshistorie,Henry Hellesen, fra 1953 på forlaget Berlingske,,33492.jpg,30,4,"Historiske begivenheder gengivet som malerier. Indb. 23x28,5cm. 95sider med s/h illustrationer og beskrivelser. 506gram", Studiebøger, Kunsthistorie, Historie:Danmark,,,,,,,,
Iver  - romanen foregår i 30-ernes Himmerland,Per Ulrich, fra 1980 på forlaget Fremad,ISBN: 87-557-1047-6,33338.jpg,20,4,"Barsk realisme i skildringen af landarbejderne, og varme og humor i persontegningerne. Hft. 221sider, uopskåret. 393gram.", Skønlitteratur,,,,,,,,,,
Fedtfattige SOVSE,Linda Fraser," fra 2002 på forlaget Thanning og appel, indb. 96 sider, 24x24cm. ",ISBN: 8741363965,33449.jpg,50,5,, Faglitteratur, Mad & gastronomi, Kogebøger,,,,,,,,
"HONORÉ DAUMIER 1808-1879 - Gemälde - Graphik - 196 Tafeln, davon 4 vielfarbig",Dr. Benno Fleischmann (text)," på forlaget Otto Lorenz verlag, Wien",,33740.jpg,475,5,Indb.m.smudsomslag. 23x25cm. 192sider. Tysk tekst. u/å. Ex-libris. Fin stand. Omslag har brugsspor, Kunsthistorie,,,,,,,,,,
MEISSEN - The Collector's World in Colour,Hugo Morley-Fletcher,"1. udgave fra 1971 på forlaget Barrie and Jenkins. Indb. 22x30cm. 119sider, illustreret med farvefotos. Historisk beskrivelse. Engelsk tekst. ",ISBN: 0-257-65090-3,33773.jpg,75,5,, Kunsthistorie, Antikviteter,,,,,,,,,
Gråsprængte herrer - Elleve livsforløb i det tyvende århundrede,Åse Myhr og Rita Naabye, fra 1995 på forlaget Bogan,ISBN: 87-7466-259-7,33086.jpg,50,6,"11 skæbner omkring to verdenskrige. De har levet i en epoke, som de selv har måtte tilføre mening. 11 vidt forskellige skæbner - nogle er født i beskedne kår, andre er søndagsbørn - nogle er født i Danmark, andre på den anden side af Jorden - nogle har haft succes, andre er ikke blevet forkælet...", Erindringer, Biografier,,,,,,,,,
Insektets Mysterier - hos Insekter og Edderkopper,J. H. Fabre, fra 1923 på forlaget Nordisk,,33835.jpg,25,3,"Henri Faber er en af de betydeligste naturforskere. Indb. 227sider, illustreret. Udv. slidt på ryg. 530g.", Naturvidenskab, Biologi,,,,,,,,,
Se på Fugle - Naturguide - udforsk naturen med over 30 spændende aktiviteter,David Burnie, fra 2007 på forlaget Globe,ISBN: 9788779004504,33535.jpg,25,6,"Hft. 72sider, illustreret. Som ny. 193g.", Natur, Fugle,,,,,,,,,
Franske Stiløvelser,C. F. Jung, fra 1886 på forlaget Rudolph Klein,,33333.jpg,15,4,Antikvarisk studiebog. Indb. 123sider. 130g., Studiebøger, Sprog, Fransk,,,,,,,,
Tine,Herman Bang, fra 1964 på forlaget Gyldendals Bibliotek,,33625.jpg,20,5,Indb. 222sider. 291g., Skønlitteratur,,,,,,,,,,
at være TRO mod TRO - Kristendom og Islam i dialog,Chawkat Moucarry, fra 2003 på forlaget Unitas,ISBN: 87-7517-656-4,33223.jpg,30,6,om de væsentligste spørgsmål som stilles i dialogen mellem kristne og muslimer. Hft. 330sider. 574gram., Studiebøger, Religion,,,,,,,,,
Husdyrsygdomme - Haandbog for Husdyrejere,Folmer Nielsen (red.), fra 1941 på Alfred G. Hassings forlag,,33995.jpg,40,5,"Udarbejdet af dyrlægerne:
J. Folkersen - N.O.Götzsche - R. Høiriis Hansen - Folmer Nielsen - H.O.Pedereen - A. Stenbæk.
Indb. 796s. illustreret. 1783g.", Landbrug & gartneri, Hobby, Husdyr,,,,,,,,
Påskerier - lav selv påsketing,Claus Zimba Dalby," fra 1987 på forlaget Klematis. Indb. 57sider, illustreret",ISBN: 87-7721-003-4,33625.jpg,20,3,Udg.biblioteksbog, Børn & forældre, Børnebøger,,,,,,,,,
Henrik Triges Løfte - Fasters Dragkiste - Porsernes Strid,Morten Korch, fra 1953 på forlaget Hus og Hjem,,33643.jpg,25,4,Indb. 109 + 109 + 88sider, Noveller, Skønlitteratur,,,,,,,,,
Krigssejler - Oplevelser fra Verdenshavene unde 2.verdenskrig,Henrik Bødker Knudsen," fra 1992 på forlaget Frihedsmuseets venner. Hft. 122sider, illustreret",ISBN: 87-88214-362,33562.jpg,50,5,, Studiebøger, Dokumentar, Danmarks besættelse, Anden verdenskrig,,,,,,,
En Flygtning,Lars Nielsen, fra 1971 på forlaget Martins,ISBN: 8756600828,33854.jpg,20,5,Hft. 190sider. 279g., Skønlitteratur, Romaner,,,,,,,,,
Brændingen Slaar,Lars Nielsen, fra 1970 på forlaget Martin,ISBN: 8756602189,34062.jpg,20,4,Hft. 220sider. 311g., Skønlitteratur, Romaner,,,,,,,,,
"Høns og kyllinger - nye, spændende variationer over det kendte tema",Bernd Neuner- Duttenhofer, fra 1985 på forlaget Asschenfeldt,ISBN: 87-7365-581-1,33324.jpg,10,6,Hft. 72sider illustreret. 142gram, Faglitteratur, Mad & gastronomi, Kogebøger,,,,,,,,
Min store trafikbog - med CD,Ida-Marie Rendtorff ," fra 2007 på forlaget Rådet for større færdselssikkerhed. Hardback, 21x30cm. 62sider, illustreret. Fin stand",ISBN: 978-87-85096-42-5,33760.jpg,50,5,, Børn & forældre,,,,,,,,,,
FRIDTJOF NANSEN - PolarForskeren,Edward Shackleton, fra 1960 på forlaget Hasselbalch,,33615.jpg,20,3,Hft. 171 s. illustreret. 419gram., Studiebøger, Opdagelsesrejser - ekspeditioner, Grønland, Dokumentar,,,,,,,
Susy vover pelsen,Gretha Stevns, fra 1993 på forlaget Grafisk,ISBN: 87-11-08592-4,33549.jpg,20,6,"Hdb. 82sider, illustreret. Som ny. 178g.", Skønlitteratur, Børnebøger,,,,,,,,,
Susy til søs,Gretha Stevns, fra 1989 på forlaget Grafisk,ISBN: 87-11-07156-7,33584.jpg,20,6,"Hdb. 75sider, illustreret. Som ny. 170g.", Skønlitteratur, Børnebøger,,,,,,,,,
Susy og Læderjakkerne,Gretha Stevns, fra 1982 på forlaget Grafisk,ISBN: 87-429-1638-0,33374.jpg,20,6,"Hdb. 80sider, illustreret. Som ny. 176g.", Skønlitteratur, Børnebøger,,,,,,,,,
Mariehønen Evigglad - Rim for børn og barnlige sjæle,Halfdan Rasmussen med Ib Spang Olsens tegninger," fra 1996 på forlaget Carlsen. Hardback, 22x30cm. 32sider, illustreret. Som ny",ISBN: 87-562-6918-8,33090.jpg,50,6,, Børnebøger,,,,,,,,,,
1791 Mozarts sidste år,H. C. Robbins Landon,1. udgave fra 1991 på forlaget Munksgaard,ISBN: 87-16-10745-4,33592.jpg,35,5,"Indb. 240sider, illustrationer. 562g.", Studiebøger, Musik, Historie:Kultur, Biografier,,,,,,,
Stimuler dit barns intelligens - Aktivitetsprogram for forældre og børn,David Lewis, på forlaget Borgen,ISBN: 8741852346,33346.jpg,30,6,Hft. 307sider. Som ny. 392g., Psykologi, Personlig udvikling, Børn & forældre,,,,,,,,
Abstract Expressionism - The Triumph of American Painting,Irvin Sandler, fra 1970 på forlaget Pall Mall Press. Indb. 26x31cm. 301sider. Engelsk tekst,ISBN: 0-269-02743-2,33535.jpg,50,4,, Kunsthistorie,,,,,,,,,,
Pickwick klubben,Charles Dickens, fra 1979 på forlaget Lademann,ISBN: 87-15-00696-4,33634.jpg,40,6,"2 bøger, indb. m. guldsnit, 392+366sider, illustreret med tegninger af H. K. Browne. Som nye. 1395g.", Skønlitteratur, Fortællinger,,,,,,,,,
Ungdoms lyse vår - en gavebog,Jeanna Oterdahl, fra 1949 på J. Frimodts forlag,,33430.jpg,20,4,"Indb. 124sider, illustreret med tegninger af Vibeke Mencke. 545gram", Ungdom, Personlig udvikling,,,,,,,,,
Noget om medefiskeri,Dick Murray, fra 1978 på forlaget Lademann,ISBN: 87-15-07290-8,33483.jpg,40,5,"Hardback med smudsomslag. 19,5x22cm. 193sider, illustreret med tegninger og udførlig vejledning. Fin stand. 570gram.", Faglitteratur, Hobby, Jagt/fiskeri,,,,,,,,
Den lange vinter,Frithjof E. Bye, fra 1946 på forlaget Jespersen og Pio,,33133.jpg,25,5,Indb. 312sider. Fin stand. 684gram., Romaner, Skønlitteratur,,,,,,,,,
Marie Antoinette,Sena Jeter Naslund,1. udgave fra 2006 på forlaget Møntergården,ISBN: 87-7901-211-6,33542.jpg,30,6,Historisk roman. Indb. 516sider. 685gram., Skønlitteratur, Romaner,,,,,,,,,
Tre Lystspil,Henrik Hertz, fra 1902 på forlaget Gyldendalske Boghandel,,33549.jpg,30,5,"Antikvarisk bog i fin stand. 
1) Amors Geniestreger, Lystspil i rimede Vers i to Acter.
2) Sparekassen, eller Naar Enden er god, er Alting godt, Lystspil i tre Acter.
3) De fattiges Dyrehave, Vaudeville i een Act.
Indb. 14x18cm. 324sider. 368g.", Skuespil, Digte,,,,,,,,,
"Kort og godt om Islam - religion, historie, ritualer",Federico Peirone, fra 1982 på forlaget Samlerens,ISBN: 87-568-0631-0,33741.jpg,25,4,"Indb. 95 sider,  ill farver, brugt biblioteksbog i fin stand. 280gram.", Studiebøger, Religion,,,,,,,,,
Medicinskabet - lægemidler i hverdagen,Niels Bjørndal, fra 1977 på forlaget Lademann,,33303.jpg,20,4,"Indb. 279 sider, let overskuelig håndbog. 412gram.", Medicin,,,,,,,,,,
Godnathistorier til hele året,"Lone Svanholm, Georg Vejen og Per Kølle (red.)", fra 1995 på Boghandlerforlaget,ISBN: 87-90180-22-4,33230.jpg,25,5,"En af de allervigtigste kontakter mellem forældre og børn er når de læser eventyr. Godnathistorier der indeholder både rim, remser, småsange og eventyr. Indb. 271sider, illustreret med tegninger. 483g.", Skønlitteratur, Børn & forældre, Børnebøger,,,,,,,,
Pudlen - historie - opdræt - avl,Ebba Aalegaard, fra 1968 på forlaget Clausens,,33105.jpg,20,3,"Hft. 84sider, illustreret. 157gram.", Faglitteratur, Hobby, Husdyr,,,,,,,,
Cobra Sagen,Richard Preston, fra 2000 på forlaget Vinten,ISBN: 87-623-0114-4,34051.jpg,20,4,Pbk. 343sider. 245gram, Skønlitteratur, Krimi/spænding,,,,,,,,,
Innovatørens Håndbog,Redaktion: Lars Rahbek m.fl.,1. udgave fra 2005 på forlaget Systime,ISBN: 8700474843,33579.jpg,100,4,"Hft. 326sider. Fin stand, dog med 8 markeringer", Studiebøger,,,,,,,,,,
Historia de la literatura española 6/1 El siglo XX - og 6/2 Literatura actual,"G. G. Brown, Santos Sanz Villanueva",14. udgave fra 1993 på forlaget Ariel,ISBN: 84-344-8326-2,33619.jpg,50,6,2bøger. Hft. 294+501sider. Som ny., Studiebøger, Sprog, Spansk, Litteraturhistorie,,,,,,,
Hundens pasning og pleje,Annette Staun,1. udgave fra 2002 på forlaget Gyldendal,ISBN: 8700694967,33212.jpg,35,6,"Læs bl.a. om: 
Anskaffelse af hund.
De mest populære hunderacer.
Opdragelse og træning.
Adfærdsproblemer.
Fodring.
Avl og reproduktion.
Hundens sygdomme.
Indb. 179sider, illustreret. 629gram.", Hobby, Husdyr,,,,,,,,,
Socialfag for pædagoger,Grit Niklasson (red),1. udgave fra 2004 på forlaget Frydenlund,ISBN: 87-7887-080-1,33124.jpg,45,4,"Indb. 405sidet, kun markeringer i kapitel 1 og 4. ellers som ny. 1139gram", Pædagogik, Studiebøger,,,,,,,,,
REMBRANDTS Handzeichnungen - Rijksprentenkabinet zu AMSTERDAM,"Kurt Freise, Karl Lilienfeld, Heinrich Wichmann (herausgegeben)", fra 1923 på forlaget Hermann Freise,,34042.jpg,200,5,23x29cm. 56 Abbildungen, Kunsthistorie,,,,,,,,,,
Gåden om Kong Gorms Grav - Historien om Nordhøjen i Jelling,Knud J. Krogh, fra 1993 på forlaget Poul Kristensens,ISBN: 8774683624,33081.jpg,50,4,"Indb. 25x33cm. 269sider, illustreret. Udg.biblioteksbog i fin stand.", Studiebøger, Arkæologi,,,,,,,,,
"Sommerliv - tips og idéer - skønne sommerdage, milde sommeraftener...",Maria Løfstedt og Palla Masdóttir," fra 2005 på forlaget Aschehoug. Hardback, 21x28cm. 65sider, illustreret",ISBN: 87-632-0662-5,33342.jpg,40,6,, Håndarbejde/hobby/håndværk,,,,,,,,,,
Malvin i den vilde natur,Kari Grossmann, fra 2011 på forlaget Gyldendal,,33210.jpg,20,6,"hardback, 18x18cm. 25sider, illustreret med farvetegninger. Som ny. 130g.", Skønlitteratur, Faglitteratur, Børnebøger,,,,,,,,
De skjulte kræfter - Et signalement af teknik og videnskab,Claus Toksvig - Piet van Deurs, fra 1972 på forlaget Lademann,,33629.jpg,25,4,Indb. 23x30cm. 95s. - illustreret i farver. 773g., Studiebøger, Videnskabsteori,,,,,,,,,
Super sjove ferielege og aktiviteter,, på forlaget Egmont,,33561.jpg,30,6,"120 sjove ferielege &aktiviteter.; Som ny. Hft. 127sider, illustreret. 414gram", Faglitteratur, Sport & fritid, Hobby,,,,,,,,
Mine tolv træer,"Barbara Bartos-Höppner, ill. af Monika Laimgruber", fra 1979 på Høst & Søns Forlag,ISBN: 87-14-17915-6,33226.jpg,15,5,Billedbog i farver om træer og om hvordan de skifter udseende med årets gang. Indb. 21x28cm. Udg.biblioteksbog. 356g., Billedbøger, Skønlitteratur, Børnebøger,,,,,,,,
Religionshistorisk brevveksling - fra J.P.Jacobsens brevarkiv,Institut for Dansk Kirkehistorie, fra 1964 på forlaget Nyt Nordisk,,33493.jpg,30,5,Hft. 306sider. 565gram., Studiebøger, Religion, Historie:Kultur,,,,,,,,
Præsten i Vejlbye,St. St. Blicher, fra 1961 på forlaget Gyldendal,,33752.jpg,15,4,Indb. 52sider. 136g., Skønlitteratur, Fortællinger,,,,,,,,,
Alt at vinde,Barbara Taylor Bradford, fra 2005 på forlaget Aschehoug,ISBN: 87-11-29119-2,33106.jpg,20,5,"Om en kvinde der mister sin elskede mand. Og som med sin svigermors hjælp, finder styrken igen. Indb. 317sider. 479g.", Skønlitteratur,,,,,,,,,,
Tryl med Buster,Harley Black, fra 2000 på forlaget Bogklubben Buster,,33502.jpg,20,6,Her får du en evighedsblok med kort der tryller farverne frem for dig.  295g., Faglitteratur, Hobby, Børnebøger,,,,,,,,
Direktøren kommer ikke mere i dag,Willy Breinholst, fra 1983 på Frederik E. Pedersens forlag,ISBN: 8787168480,33175.jpg,20,4,Humoristiske historier med tegninger af Adan. Hft. 126sider. 206g., Skønlitteratur, Humor,,,,,,,,,
Dennis the Menace and his Girls,Hank Ketcham, fra 1988 på forlaget Fawset gold medal,ISBN: 0449127915,33989.jpg,15,4,Paperback. Humoristiske tegninger med engelsk tekst. 72g., Skønlitteratur, Tegneserier, Humor,,,,,,,,
Det gamla Borgå,Gunnar Mårtenson og Paul Nyberg, fra 1965 på forlaget Werner Söderström,,33360.jpg,15,4,"En middelalderby i Finland. Svensk tekst.
Indb. illustreret med farvefotos. Indb. 371gram.", Studiebøger, Lokalhistorie,,,,,,,,,
BLADTEGNING i FUNKTION,Piotr Baro,"1. udgave fra 1986 på forlaget Rhodos. Hft. 96sider, illustreret",ISBN: 87-7245-150-5,33301.jpg,50,4,"En ting sagt uden smil kan være stødende, men den samme ting i en vittig bladtegners udgave kan komme til at virke i en troværdig og realistisk dimension. At visualisere fejl i vores tilværelse er et godt skridt på vej til at fjerne fejlen.", Kunst & kultur, Studiebøger,,,,,,,,,
Fra Rørbyes Skitsebøger,Jørgen B. Hartmann, fra 1949 på Thaning & Appels forlag,,33569.jpg,40,4,"Blandt Eckersbergs elever indtager maleren Martinus Rørbye en særstilling. Han er vandringsmanden, der søger impulser fra fjerne egne. Nedskriver sine iagttagelser samvittighedsfuldt, illustreret med tegninger. Indb. (19,5x12,5cm) gengivelse af 47 skitser og indledning af Jørgen B. Hartmann. 147g.", Studiebøger, Kunsthistorie,,,,,,,,,
Fortællinger fra vores liv,Rachel og Israel Rachlin, fra 1992 på forlaget Aschehoug,ISBN: 8777203941,33909.jpg,30,4,"Hft. 189sider, illustreret. 485gram", Studiebøger, Erindringer,,,,,,,,,
The Complete Works of William Shakespeare - comprising his Plays and Poems,,13. udgave fra 1970 på forlaget Spring Books,ISBN: 0600006042,33989.jpg,35,4,Indb. 1081sider. 830g., Skuespil,,,,,,,,,,
Kidnapped - David Balfours eventyrlige Oplevelser i Aaret 1751,Robert Louis Stevenson, fra 1946 på forlaget Rosenkilde og Bagger. Indb. 238sider illustreret af Des Asmussen,,33854.jpg,45,5,, Romaner,,,,,,,,,,
Mit skatkammer, Noahs Ark (5),Annalise Børresen og Gudrun Franck (redaktion)  fra 1973 på forlaget Fremad,ISBN: 87-557-0110-8,33378.jpg,30,4,"Indb. 160sider, illustreret med tegninger.  udg.biblioteksbog. God stand. 600g.",, Ungdom, Børnebøger,,,,,,,,
En ung mand ved navn Stilling,Herman Stilling, fra 1980 på forlaget Danmark,,33541.jpg,25,5,Indb. 155sider. 271g., Studiebøger, Biografier,,,,,,,,,
AT BAKSE MED LIVET - om et godt børneliv og om mod til opdragelse,Niels Jægerum, fra 1999 på forlaget Kroghs. Hft. 21x21cm. 190 sider. Som ny,ISBN: 87-7469-395-6,33757.jpg,40,6,"En forældrebog om børn og unge, der er på vej ud i livet for at lære sig selv at kende.", Børn & forældre,,,,,,,,,,
Kogebog 2 - tag-selv-retter,Fritze Juel," fra 1972 på forlaget Fogtdal. Hardback, 21x24cm. 108 sider, illustreret.",ISBN: 87-427-0030-2,33484.jpg,25,4,Fortsættelsen af Bo Bedre's Kogebog, Kogebøger, Mad & gastronomi,,,,,,,,,
Æresdrab - beretning om et mord,Sengül Güvercile,3. udgave fra 2009 på forlaget Aschehoug,ISBN: 978-87-11-31339-8,33620.jpg,20,4,"Paperback, 149 sider, 120gram.", Dokumentar,,,,,,,,,,
Fortrolige samtaler - Verdenslitteraturens Humor,Erasmus af Rotterdam, fra 1945 på forlaget Thaning & Appel,,33178.jpg,20,4,"Hft. 116 sider, illustreret med tegninger af Povl Christensen. 160gram.", Skønlitteratur, Skuespil, Fortællinger, Humor,,,,,,,
"Det er Miljødag, Søren Brun",Charles M. Schultz, fra 1979 på forlaget Gutenberghus Bladene,,33761.jpg,15,6,"Hft. 96s. 10,5x18cm. med humoristiske tegninger med tekst. 98g.", Skønlitteratur, Tegneserier, Humor,,,,,,,,
Nikita Krustsjev - bogen om den røde Zar,Georg Reinhold Mac, fra 1964 på forlaget Chr. Erichsen,,33929.jpg,25,5,"Hft. 269sider, illustreret med fotos og satiriske tegninger af Mogens Juhl. 419g.", Politik, Dokumentar, Biografier,,,,,,,,
Væbneren 1908 - Blad for den opvoksende Ungdom,Joh. Vibe Petersen og E. Frederiksen, fra 1908 på O. Lohses forlag,,33462.jpg,25,4,"Antikvarisk bog i fin stand. Et kristeligt blad som udkom hver 14.dag. Årgang 1908 er fint indbundet i bog. 192sider, illustreret med fotos og tegninger.", Skønlitteratur, Ungdom, Fortællinger,,,,,,,,
Mosefolket - Jernalderens Mennesker bevaret i 2000 år,P.V. Glob, fra 1968 på forlaget Gyldendal,,33690.jpg,30,4,"Indb. 166sider, illustreret med fotos. 600g.", Arkæologi,,,,,,,,,,
Grønlandsk Sproglære,Chr. Rasmussen, fra 1971 på forlaget Akademisk Boghandel,ISBN: 8775360152,33260.jpg,30,5,Hft. 201s. fotografisk genoptryk af Kgl.Grønlandske Handels udgave fra 1888 (gotisk skrift). 370gram, Studiebøger, Grønland, Sprog,,,,,,,,
Jeg er Jæger,"Ahlefeldt-Bille, Torben J. Meyer og Knud Sandvej (red)",6. udgave fra 1968 på forlaget Politiken,,33328.jpg,25,4,"Indb. 462sider, illustreret. God stand. 407g.", Faglitteratur, Jagt/fiskeri,,,,,,,,,
Turen går til Egypten,Svend Garbarsch,4. udgave fra 1987 på forlaget Politikens,ISBN: 87-567-4209-6,34043.jpg,10,5,"Hft. 144 sider, 123 gr.", Rejsebøger/guides,,,,,,,,,,
